System,Kendall Tau,P-value
uogtr_b_grf_e,,
WatS-Augmented-BM25,,
naverloo_fs_RR_duo,,
uogtr_qr_be,,
slim-pp-0shot-uw,,
uogtr_dph,,
uogtr_qr_be_gb,,
cip_run_4,,
uogtr_se,,
cip_run_1,,
naverloo_fs_RR,,
naverloo_bm25_splades_RR,,
naverloo-rgpt4,,
splade_pp_ensemble_distil,,
uot-yahoo_rankgpt35,,
naverloo_fs,,
agg-cocondenser,,
cip_run_3,,
cip_run_2,,
cip_run_6,,
uogtr_be,,
uogtr_dph_bo1,,
bm25_splades,,
uogtr_se_gb,,
naverloo-frgpt4,,
cip_run_7,,
cip_run_5,,
uogtr_be_gb,,
naverloo_bm25_RR,,
splade_pp_self_distil,,
uot-yahoo_LLMs-blender,,
uogtr_b_grf_e_gb,,
WatS-LLM-Rerank,,
uot-yahoo_rankgpt4,,
uogtr_s,,
